Company Name,Industry,Phone Number,Website,Pitch Angle / Notes,,
MTJ Paint and Body Shop,Auto Body / Collision,+1 305-632-1914,411collision.com,Ask if they handle in-house classic restorations or heavy rust stripping.,,
Performante Collision,Auto Body / Collision,+1 786-570-7558,performantecollision.com,Highlight that it is pre-assembled on an ergonomic stand and ready to work.,,
Florida Powder Coating Corporation,Powder Coating,+1 305-835-7082,,Powder coaters require perfect bare-metal surfaces; a commercial Trinco is a daily necessity.,,
FAST PAINT - POWDER COATING,Powder Coating,+1 305-990-2513,fastpaintmiami.com,Let them know it includes a fresh box of original Trinco media to speed up small part prep.,,
GOPELIA Metalworks,Metal Fabrication,+1 305-925-0801,gopelia.com,Emphasize the heavy-gauge industrial steel construction—fabricators appreciate tough tools.,,
H&D Metal Works Corp,Metal Fabrication,+1 786-641-4291,metalworkshd.com,Ask for the shop foreman to see if they need to upgrade an existing small media cabinet.,,
Wheel Repair Tech,Wheel & Rim Repair,+1 305-825-8002,instagram.com/wheelrepairtech,Rim shops constantly blast wheels to remove clear coats and curb rash before painting.,,
Wheel Fix It Miami,Wheel & Rim Repair,+1 305-826-8883,wheelfixitusa.com,Perfect local lead in Hialeah; highly active with small-component blasting.,,
LTW Lejeune Tire and Wheels,Wheel & Rim Repair,+1 305-687-3007,,Local Hialeah shop that handles custom wheel and tire packages.,,
Motion Machine Shop,Engine & Machine Shop,+1 305-364-4344,,Ideal for cleaning up cylinder heads\, valves\, and small engine blocks during rebuilds.
West Engine Machine,Engine & Machine Shop,+1 305-885-4607,,Classic machine shop setup; likely relies on media blasting for surface inspection.,,
Abana Engine Rebuilders,Engine & Machine Shop,+1 305-827-4744,,Reach out to see if their current parts-cleaning equipment needs an addition or replacement.,,
A & J Marine Welding,Marine Fabrication,+1 305-265-7922,custommarinewelding.com,Marine environments create heavy oxidation; great for cleaning boat brackets/hardware.,,
Pipe Works Marine Inc.,Marine Fabrication,+1 305-345-1720,facebook.com/PipeWorksMarine,Focuses on T-tops\, towers\, and marine aluminum that needs clean surface prep.
Biketailing Specialties Inc,Motorcycle Shop / Detailing,+1 305-699-9325,biketailing.com,Custom bike builders use dry-blasting for engine cases and intricate carburetor parts.,,
Speedway Vintage Cycles,Motorcycle Restoration,+1 305-761-3338,speedwayvintagecycles.com,Vintage restoration relies heavily on media cabinets to safely restore old components.,,
Enginetech Prix Corp,Motorcycle Repair,+1 305-269-3476,,Doral-based motorcycle service center handling engine and component overhauls.,,
